barkai,true,01.01.2025,"Jak začít nový rok správně","Rok 2025 je tady! Máte nějaké tipy na to, jak ho začít produktivně a s pozitivní energií?"
calda,true,02.01.2025,"Budoucnost umělé inteligence","AI mě fascinuje, ale také děsí. Myslíte, že nás jednou nahradí stroje?"
cervenka,true,03.01.2025,"Nejlepší domácí polévky","Když je venku zima, nic mě nezahřeje tak jako domácí polévka. Jakou máte nejraději vy?"
charvat,true,03.01.2025,"Sportovní cíle na rok 2025","Letos bych rád uběhl svůj první půlmaraton. Jaké máte sportovní cíle vy?"
drobny,true,04.01.2025,"Proč číst klasickou literaturu?","Někdo říká, že je to zastaralé, ale podle mě má klasika pořád co nabídnout. Souhlasíte?"
dvorak,true,05.01.2025,"Tipy na lepší spánek","Spánek je pro mě stále záhadou. Co vám pomáhá usnout rychleji a lépe spát?"
friedl,true,05.01.2025,"Nejkrásnější místa v Česku","Příroda v Česku je nádherná! Máte tipy na místa, kam vyrazit na víkend?"
hajek,true,06.01.2025,"Radosti zimních večerů","Dlouhé zimní večery mám rád. Kniha, čaj a deka – co víc si přát?"
hamacek,true,06.01.2025,"Jízda na kole v zimě","Je tu někdo, kdo jezdí na kole i v zimě? Máte tipy na oblečení nebo bezpečnost?"
hofman,true,07.01.2025,"Nejlepší hry na dlouhé večery","Hledám tipy na deskové hry, které jsou zábavné a trvají dlouho. Co hrajete vy?"
holy,true,08.01.2025,"Ekologie v každodenním životě","Zamysleli jste se někdy, jaké malé kroky můžeme dělat pro lepší životní prostředí?"
hula,true,08.01.2025,"Jak najít nového koníčka","Chtěl bych se pustit do něčeho nového, ale nevím kde začít. Máte inspiraci?"
kacirek,true,09.01.2025,"Domácí káva vs. kavárna","Je lepší si kávu připravit doma, nebo ji raději vychutnat v kavárně? Co preferujete?"
koppel,true,09.01.2025,"Minimalismus v praxi","Méně je více. Poslední dobou se snažím zbavit zbytečných věcí. Máte s tím zkušenost?"
krasa,true,10.01.2025,"Začínáme s běháním","Začal jsem běhat, ale je to těžší, než jsem čekal. Jak jste překonali začátky vy?"
linda,true,11.01.2025,"Nejlepší filmy roku 2024","Loni jsem viděla několik skvělých filmů. Jaké byly vaše oblíbené?"
matej,true,11.01.2025,"Budoucnost dopravy","Myslíte, že se dočkáme plně autonomních aut v příští dekádě?"
mydlar,true,12.01.2025,"Výhody brzkého vstávání","Vstávání v pět ráno mi změnilo život. Je tu někdo, kdo to taky praktikuje?"
nguyen,true,13.01.2025,"Nejlepší vietnamská jídla","Vietnamská kuchyně je plná chutí. Máte své oblíbené recepty?"
niubo,true,13.01.2025,"Cestování sólo","Poprvé jsem cestoval sám a byla to úžasná zkušenost. Máte s tím někdo zkušenosti?"
novotny,true,05.01.2025,"Psaní deníku","Píšu si deník už tři měsíce. Máte tipy, co do něj zahrnout?"
poloch,true,06.01.2025,"Rodinné výlety s dětmi","Jaké máte tipy na jednodenní výlety, které zabaví i malé děti?"
rajsky,true,07.01.2025,"Motivace v těžkých chvílích","Jak si udržet motivaci, když se zdá, že se nic nedaří? Podělte se o své tipy."
rosic,true,02.01.2025,"Studium cizích jazyků","Začal jsem se učit italštinu. Jak se efektivně učíte nová slovíčka?"
sach,true,08.01.2025,"Technologické vychytávky","Které gadgety vám opravdu usnadnily život? Rád bych se inspiroval."
sebesta,true,08.01.2025,"Čtení papírových knih","Čtečky jsou fajn, ale papír má svoje kouzlo. Jak to vidíte vy?"
sprungl,true,09.01.2025,"Digitální detox","Zkusili jste někdy být den bez mobilu? Jaké to bylo?"
stopa,true,12.01.2025,"Pečení domácího chleba","Péct si vlastní chleba je úžasné. Máte nějaký osvědčený recept?"
